,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
3155,3155,959302706,1,1,38,13,2,1,11,0,T,31,1,L,324,0,100,99,0,0
3681,3681,906519556,1,2,40,41,4,8,12,0,Q,30,1,L,1188,0,80,99,0,1
1141,1141,982353581,1,1,22,17,4,1,#,0,R,20,1,L,610,0,100,99,0,1
2961,2961,241014141,1,1,16,**,4,1,12,0,Q,43,1,L,5990,0,20,99,0,1
5020,5020,986524752,1,1,27,13,2,27,#,0,T,25,1,L,1080,0,30,99,0,1
2737,2737,990557317,1,1,19,4,4,1,16,500,H,49,1,L,1728,0,100,99,0,0
4410,4410,248195170,1,1,41,40,3,1,12,0,Q,41,1,L,480,0,40,99,0,0
4844,4844,245754688,1,1,50,43,2,1,#,0,Q,50,1,R,6766,0,10,3,3,1
14,14,988734152,1,1,43,23,4,1,#,0,C,42,1,L,120,0,70,99,0,0
4228,4228,958407377,1,1,51,13,2,1,11,0,T,47,1,L,4356,0,50,99,0,1
4482,4482,258892476,1,1,42,13,4,1,12,500,T,42,1,L,540,0,30,99,0,1
925,925,991595784,1,2,54,23,4,1,#,500,C,53,1,L,120,0,90,99,0,0
5372,5372,249035555,1,2,63,**,4,1,12,0,T,63,1,L,12000,0,50,99,0,0
2445,2445,947069403,1,2,23,27,2,17,#,0,K,16,1,L,240,1,3,3,7,0
4554,4554,988870325,1,2,62,40,2,1,#,500,Q,59,1,L,648,1,100,10,3,0
3310,3310,514492753,1,1,45,22,2,1,#,0,C,29,1,a,240,0,100,99,0,0
3612,3612,256887274,1,1,79,8,3,1,#,500,T,79,1,L,2400,0,5,99,0,0
2414,2414,967273716,1,2,15,14,4,1,11,0,T,44,1,L,1000,0,20,99,0,1
5699,5699,951816304,1,1,27,13,2,1,11,0,T,21,1,L,860,1,3,10,3,0
7003,7003,968044951,1,2,24,15,3,17,11,0,T,18,1,L,648,1,3,10,3,0
4860,4860,978401039,1,1,24,27,3,1,11,0,T,21,1,L,2689,0,50,99,0,1
850,850,979123992,1,2,25,27,4,1,12,0,K,22,1,L,1080,0,100,99,0,1
978,978,955030679,1,2,43,**,2,1,11,0,K,36,1,a,2118,0,100,99,0,0
3510,3510,240084344,1,1,23,40,2,1,#,0,Q,23,1,L,500,0,40,99,0,0
6807,6807,257409587,1,2,25,12,2,6,#,500,T,25,1,L,2200,0,5,99,0,0
3722,3722,315936031,1,1,71,13,2,8,#,0,T,56,1,L,100,0,100,99,0,0
5158,5158,252948872,1,2,9,**,4,1,#,500,H,38,1,L,1,0,2,99,0,0
7223,7223,971871728,1,1,22,**,2,6,12,0,T,19,1,L,240,0,0,7,2,0
6872,6872,959926512,1,1,43,47,2,99,#,0,Q,39,1,L,10800,0,60,99,0,1
1818,1818,943284415,1,1,29,23,2,1,11,0,C,20,1,L,67090,0,80,99,0,0
6137,6137,309116176,1,1,23,13,2,1,#,0,T,38,1,a,920,0,100,3,6,0
2677,2677,980188924,1,1,34,11,4,1,12,0,T,31,1,L,540,0,100,99,0,1
7159,7159,994111806,2,#,0,14,4,1,11,0,T,999,1,L,980,0,90,99,0,1
5252,5252,247982260,1,2,67,1,2,1,#,500,D,67,1,L,779,0,50,99,0,1
2642,2642,323873703,1,2,64,14,2,1,#,0,T,49,1,L,500,0,40,9,1,1
923,923,901574335,1,1,68,44,2,99,#,0,Q,49,1,L,1,0,50,9,1,0
1063,1063,946421997,1,2,30,23,2,1,12,0,C,23,1,L,5556,0,110,99,0,1
370,370,306637937,1,2,56,12,4,8,#,0,T,43,1,a,226,0,90,99,0,2
4954,4954,970242276,1,2,24,**,2,1,11,0,N,21,1,L,250,0,80,99,0,0
1486,1486,613545992,1,2,32,28,2,1,#,0,K,15,1,a,740,0,70,99,0,0
4481,4481,982682506,1,1,63,13,2,1,16,0,T,61,1,L,324,0,100,7,1,0
5972,5972,305415583,1,2,71,13,4,99,#,0,T,57,1,L,770,0,50,99,0,0
6113,6113,948905397,1,2,37,**,4,1,#,0,T,32,1,L,500,0,10,4,3,0
1820,1820,997537637,1,2,70,**,4,8,#,500,T,69,1,L,33120,0,50,99,0,0
2403,2403,967966559,1,2,73,14,2,99,#,0,T,67,1,L,2800,1,3,10,3,0
997,997,990696583,1,2,68,29,4,1,11,500,K,67,1,L,324,0,100,99,0,0
2212,2212,950296489,1,2,30,1,2,1,11,0,D,22,1,L,324,0,100,99,0,0
4105,4105,941430778,1,1,30,**,2,1,#,0,C,23,1,L,300,0,10,4,2,0
2105,2105,253839365,1,1,43,1,4,1,#,500,D,42,1,L,1000,0,70,99,0,0
632,632,259536989,1,2,70,**,4,1,12,500,K,70,0,9,1,0,30,99,0,0
5839,5839,507799166,1,2,55,22,3,1,#,0,C,15,1,L,7128,0,100,99,0,0
5314,5314,255862028,1,1,52,**,3,1,#,0,T,52,1,L,1641,0,80,99,0,1
5492,5492,309552200,1,1,50,**,2,1,#,0,T,41,1,L,5000,0,50,99,0,0
4822,4822,940093381,1,1,46,10,2,1,#,0,T,36,1,L,7020,0,100,99,0,0
349,349,904874993,1,2,17,40,2,99,#,0,Q,27,1,L,505,0,70,99,0,1
3686,3686,947512817,1,1,27,**,3,1,11,0,Q,21,1,L,8280,0,70,99,0,0
1709,1709,953466805,1,1,47,1,4,1,11,0,T,42,1,L,324,0,100,99,0,0
1857,1857,951459582,1,2,67,**,4,6,11,0,T,59,1,a,1810,0,50,99,0,1
304,304,503580725,1,1,39,11,3,8,#,0,C,18,1,L,270,0,100,99,0,0
1423,1423,981245377,1,1,78,**,4,1,#,500,K,73,1,L,324,0,100,99,0,0
5207,5207,703146231,1,1,41,16,2,1,#,0,R,23,1,L,324,0,100,99,0,0
7347,7347,947924254,1,2,77,30,3,1,#,0,K,69,1,a,1440,0,50,99,0,0
7316,7316,308445748,1,1,34,19,2,1,#,0,T,24,1,a,47057,0,50,99,0,1
1527,1527,800113660,1,2,50,35,2,99,#,0,N,30,0,#,705,1,10,8,5,0
7537,7537,941604076,1,2,38,**,4,1,12,0,K,33,0,L,13800,0,100,99,0,0
2940,2940,990687843,1,2,26,14,2,1,#,0,T,25,1,M,700,0,100,99,0,1
