,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
298,981280950,1,1,18,27,4,1,12,0,K,44,1,L,,,,,,
299,906674406,1,1,63,40,2,1,#,0,Q,52,1,a,,,,,,
300,243067102,1,2,30,27,2,1,#,0,K,28,1,L,540,0,100,99,0,0
301,245439197,2,#,0,13,1,99,#,0,T,999,#,9,,,,,,
302,328613980,1,1,24,14,4,10,#,0,T,15,1,a,1058,0,110,99,0,1
303,507692167,1,1,41,23,4,1,#,0,C,31,1,L,,,,,,
304,254313977,1,2,38,11,4,1,#,500,T,36,1,L,,,,,,
305,967380393,1,1,62,34,4,1,#,0,N,60,1,L,,,,,,
306,944122135,1,2,25,27,3,1,12,0,K,19,1,L,324,0,100,99,0,0
307,972635973,1,2,40,38,4,8,11,0,S,37,1,L,452,0,100,99,0,0
308,244121220,1,1,66,**,2,1,11,500,T,65,1,L,,,,,,
309,989228585,1,2,19,22,2,1,11,0,C,40,1,L,,,,,,
310,261664385,1,2,60,40,2,1,#,0,Q,60,1,a,,,,,,
311,255880611,1,2,45,**,4,1,11,0,K,45,1,a,,,,,,
312,252927644,1,1,50,20,4,1,11,500,T,50,1,L,432,0,80,99,0,1
313,985061199,1,2,33,10,2,8,12,0,T,31,1,L,1440,0,3,4,8,0
314,982165443,1,1,52,23,3,1,#,0,C,50,1,R,,,,,,
315,509074830,1,2,42,25,2,1,11,0,C,34,1,L,,,,,,
316,254432761,2,#,0,13,90,99,#,2300,T,999,#,9,,,,,,
317,965400258,1,2,27,23,4,99,#,0,T,23,1,L,,,,,,
318,203396687,1,1,42,4,2,1,#,0,H,28,1,L,,,,,,
319,317685034,1,2,7,13,2,1,#,0,T,29,1,L,,,,,,
320,306355671,1,1,26,11,2,1,#,0,T,15,1,L,1200,0,60,99,0,0
321,804958206,1,2,55,**,4,1,11,0,N,48,1,L,,,,,,
322,603598810,1,2,39,27,4,99,#,0,K,20,1,L,,,,,,
323,262965263,1,1,68,47,1,1,11,500,Q,68,1,L,,,,,,
324,250314916,1,2,23,27,2,1,#,500,K,21,1,L,5645,0,50,99,0,1
325,257042261,1,2,20,27,4,6,11,0,K,19,1,a,3220,0,,,,
326,840018534,2,#,0,13,90,99,#,0,T,999,#,#,,,,,,
