,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
1022,1022,961255030,1,2,18,27,4,10,11,0,K,36,1,L,2440,0,130,99,0,0
1031,1031,253733543,1,1,22,28,2,28,#,0,K,21,1,L,610,1,40,99,0,0
1033,1033,242238686,1,2,22,28,4,8,12,0,K,17,1,a,401,0,70,99,0,1
1039,1039,990494093,1,1,17,28,3,1,#,500,K,50,1,L,324,0,20,99,0,0
1045,1045,326568691,1,1,40,12,2,1,#,0,T,27,1,a,240,0,60,99,0,0
1048,1048,249994056,1,2,22,42,3,1,11,0,Q,20,1,L,960,0,50,99,0,0
1053,1053,990222586,1,2,65,13,4,6,11,500,Q,63,1,L,240,0,50,99,0,0
1054,1054,255178619,1,2,58,27,2,8,16,500,K,58,1,L,1,0,30,99,0,0
1065,1065,969072848,1,2,33,38,4,1,12,0,S,27,1,L,1007,0,100,99,0,1
1066,1066,989702845,1,2,32,35,2,1,12,0,T,28,1,L,240,1,10,5,3,0
1068,1068,240683718,1,2,50,**,2,1,12,0,K,50,1,L,130,0,50,99,0,0
1070,1070,324322980,1,1,36,14,2,1,#,0,T,20,1,L,120,0,60,99,0,0
1073,1073,246070005,1,1,23,17,4,1,11,0,R,23,1,a,1000,0,80,99,0,0
1076,1076,996207766,1,2,37,**,4,1,#,500,T,36,1,L,500,0,90,99,0,1
1077,1077,241365307,1,2,46,**,4,1,#,500,H,45,1,L,120,0,90,99,0,0
1078,1078,983596144,1,1,26,15,2,99,#,0,T,22,1,L,540,0,90,99,0,0
1091,1091,244345326,1,1,29,15,2,1,11,500,T,27,1,L,120,0,10,3,3,0
1093,1093,983360682,1,1,25,4,4,1,#,0,H,52,1,L,5520,0,90,99,0,1
1094,1094,255831545,1,1,19,**,2,1,11,0,T,19,1,a,6500,0,40,99,0,1
1099,1099,314163424,1,1,49,14,4,1,#,0,T,31,1,L,21129,0,90,99,0,1
1100,1100,962258170,1,1,18,22,2,8,#,0,C,44,1,L,2780,0,3,4,9,0
1102,1102,516284287,1,2,52,14,4,20,12,0,T,41,1,L,17149,0,100,99,0,1
1109,1109,246227269,1,1,29,11,4,26,12,500,T,29,#,#,324,0,60,99,0,0
1111,1111,949169815,1,2,24,**,2,1,#,0,C,18,1,L,324,0,100,7,6,0
1113,1113,988360876,1,1,55,23,4,1,12,0,C,53,1,L,30000,0,90,99,0,1
1117,1117,252750672,1,1,57,40,1,6,12,0,Q,20,1,a,1499,1,3,99,0,0
1118,1118,242125713,1,2,57,1,3,1,#,0,D,56,1,L,5126,0,50,99,0,0
1120,1120,965643116,1,1,39,24,2,1,#,0,C,35,1,L,6158,0,50,7,1,0
